CTISMILES	_internalID_
c1cc(ccc1C(=O)Nc2nnc(o2)C(=O)Nc3ccc(cc3)N4CCOCC4)Cl	CHEMBL2036736
CCOc1ccc(cc1)NC(=O)Nc2ccc3c(c2)nns3	CHEMBL1338822
Cc1cc2c([nH]1)ccc(c2F)Oc3c4c(c(cn4ncn3)OC[C@@H](C)O)C	CHEMBL377300
CN1CC(C1)n2c(ccn2)c3cc(ccc3Oc4cc(c(cc4F)S(=O)(=O)Nc5ncns5)F)Cl	CHEMBL2325622
Cc1c(ncnc1OC2CCN(CC2)C(=O)OC(C)C)Oc3ccc(cc3F)S(=O)(=O)C	CHEMBL1951011
COc1cc2c(cc1OCCCN3CCOCC3)ncnc2Nc4cnc(nc4)NC(=O)c5ccc(c(c5)Cl)F	CHEMBL382667
CCOc1cc2c(cc1NC(=O)/C=C/CN(C)C)c(c(cn2)C#N)Nc3ccc(c(c3)Cl)F	CHEMBL607707
c1cc(ccc1c2ccc(cc2)O)C3(CN4CCC3CC4)O	CHEMBL100913
CCSc1[nH]c2c(ncnc2n1)N	CHEMBL566277
C[C@H](C#N)NC(=O)[C@@H]1CCCC[C@H]1C(=O)N2CCc3c(c4cc(ccc4[nH]3)F)C2	CHEMBL2164679
Cc1ccc2nc(c(n2c1)c3ccnc(n3)N)C	CHEMBL2334971
c1cc(cc(c1)O)NC(=O)c2ccc(cc2OCc3ccc(cc3)F)OCCCN4CCCC4	CHEMBL1824364
c1ccc(cc1)c2cc(c3c(n2)cccc3O)O	CHEMBL365458
COc1cc(ccc1Nc2ncc(c(n2)c3cnc4n3cccc4)Cl)C(=O)N5CCOCC5	CHEMBL1809055
Cc1nc2cc(c(cc2c(n1)O)CO[C@@H]([C@@H](CC(C)C)C(=O)N[C@H](C(=O)NC)C(C)(C)C)C(=O)NO)Br	CHEMBL357203
Cc1cc(ccc1OCC(=O)O)CN2Cc3ccccc3C2C(=O)Nc4ccc(cc4Cl)Cl	CHEMBL1643194
c1ccc2c(c1)NC(=O)CN2C(=O)c3ccco3	CHEMBL1566034
c1cc(ccc1C#CC2(CN3CCC2CC3)O)Oc4ccc(cc4)C(=O)NCc5ccncc5	CHEMBL1796296
CS(=O)(=O)c1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N	CHEMBL2171990
C[C@@H]1CN(C[C@@H](O1)C)c2nc3c(ccc(n3)c4ccccc4)c(n2)N5CCOCC5	CHEMBL1078499
Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)CCN6CCC(CC6)CC(=O)N7CCOCC7)C	CHEMBL249772
c1ccc(cc1)c2ccccc2NC(=O)OC3CCN(CC3)CCCCCCCCCNC[C@@H](c4ccc(c5c4ccc(n5)O)O)O	CHEMBL1683934
Cc1ccc(cc1n2cnc3ccc(cc3c2=O)N4CCN(CC4)C)NC(=O)c5cncs5	CHEMBL2031237
CN(C1CCN(CC1)CCC(c2ccccc2)c3ccccc3)C(=O)c4ccncc4	CHEMBL182266
c1cc(ccc1C(=O)O)n2c(c(cn2)C(=O)NC3C4CC5CC(C4)CC3C5)C(F)(F)F	CHEMBL2177607
C[C@@H]1CN(CCN1c2ncc(cn2)OCc3ccncc3C#N)C(=O)OC(C)(C)C	CHEMBL2086684
COc1cccc(c1)NC(=O)Cc2ccc(cc2)Oc3c4cc(c(cc4ncn3)OC)OC	CHEMBL1940259
CC[C@@H]1C(=O)N(c2cnc(nc2N1C3CCCC3)Nc4ccc(cc4OC)C(=O)NC5CCN(CC5)C)C	CHEMBL513909
c1cnc(nc1)Nc2cc(cc3c2cc(cc3)/C(=N/O)/N)C(=O)Nc4ccc(cc4)CN	CHEMBL560493
C[C@@H](COC)Oc1cc(cc(c1)Oc2cccc(c2)N(C)C)C(=O)Nc3ccc(cn3)C(=O)O	CHEMBL1778371
c1cc(cnc1)COC(=O)NCc2ccc(cc2)C(=O)NO	CHEMBL269692
CCC(=C(CC)c1ccc(cc1)O)c2ccc(cc2)O	CHEMBL2135534
c1ccc(c(c1)N)NC(=O)c2ccc(cc2)c3ncc(s3)CN4CCCCC4	CHEMBL256117
Cc1cc(on1)CNc2nccc(n2)Nc3cc(n[nH]3)CCc4ccccc4	CHEMBL2088100
CCOc1cccc2c1[nH]c3c2CN(CC3)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N	CHEMBL2163590
C[C@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O	CHEMBL372052
c1ccc2c(c1)C[C@H]([C@@H]2CC(=O)O)NC(=O)c3cc4c([nH]3)c(c(s4)Cl)Cl	CHEMBL1084762
Cc1c(n2ccccc2n1)c3ccnc(n3)N	CHEMBL100979
COc1ccc(cc1NC(=O)[C@H](CO)N)/C=C\c2cc(c(c(c2)OC)OC)OC	CHEMBL572284
COc1cc2c(c(c1)OC3CCOCC3)c(ncn2)Nc4ccc(c(c4)Cl)F	CHEMBL205783
Cc1csc(n1)NC(=O)c2ccccc2	CHEMBL209410
c1ccnc(c1)NCCCOc2ccc(cc2)C[C@@H](C(=O)O)NC(=O)c3c(cccc3Cl)Cl	CHEMBL2030815
COc1cc2c(cc1OCCCNCCO)ncnc2Nc3ncc(s3)CC(=O)Nc4cccc(c4)F	CHEMBL373013
COC(=O)CN1c2ccccc2CC(C1=O)NC(=O)c3cc4cc(sc4[nH]3)Cl	CHEMBL233445
COCCN1CCC(CC1)Oc2cc3c(cc2OC)ncnc3Nc4cc(ccc4F)Cl	CHEMBL215559
CN(C1CCN(CC1)Cc2ccc(cc2)C(F)(F)F)C(=O)Cc3ccc(cc3)S(=O)(=O)C	CHEMBL2010831
COc1ccc(cc1)Cc2nnc(s2)N	CHEMBL1409684
c1cc(c(c(c1)Cl)C(=O)N[C@@H](Cc2ccc(cc2)CCCc3ccc4c(n3)NCCC4)C(=O)O)Cl	CHEMBL2031161
Cc1ccc(cc1NC(=O)c2ccc(cc2)OCc3cscn3)NC(=O)c4cccc(c4)N5CCOCC5	CHEMBL183630
CNC(=O)c1ccccc1Sc2ccc3c(c2)n[nH]c3/C=C/c4ccccn4	CHEMBL1289926
COc1cc2c(cc1OCCCN3CCC[C@H]3CO)ncnc2Nc4ncc(s4)CC(=O)Nc5cccc(c5F)F	CHEMBL201197
c1ccc-2c(c1)Cc3c2n[nH]c3c4cccs4	CHEMBL212899
Cc1ccc(cc1Nc2ccnc(n2)SC)NC(=O)c3cc(cc(c3)F)N4CCOCC4	CHEMBL187857
c1cc(c(c(c1)Cl)c2c3ccc(nn3cnc2=O)Sc4ccc(cc4F)F)Cl	CHEMBL119385
CCCN(CCCOc1ccc2c(c1)ncnc2Nc3cc(n[nH]3)CC(=O)Nc4cccc(c4)F)CCO	CHEMBL215495
COCCOc1cc2c(cc1OC)ncnc2Oc3cnn(c3)CC(=O)Nc4cccc(c4)OC	CHEMBL1940110
CC(C)(C)OC(=O)N1CCN(CC1)c2ncc(cn2)OCc3ccc(cc3)S(=O)(=O)C	CHEMBL2086650
CCn1cc(cn1)NC(=O)Cc2ccc(cc2OC)Oc3ccnc4c3ccc(c4)OC	CHEMBL2023118
Cc1ccc(cc1N(C)c2ccnc(n2)Nc3cc(cc(c3)OC)N4CCOCC4)CO	CHEMBL1762545
CCN(CC)CCn1c2ccccc2c3c1c(c(nc3)N)C#N	CHEMBL1573309
COc1cnc(cn1)c2cccc(c2C(CNC(=O)c3ccc(nc3)COCC(F)(F)F)(F)F)F	CHEMBL2147317
CCCSc1c(cccn1)C(=O)NC2CCC(CC2)(F)F	CHEMBL2153176
c1cc2cnccc2c(c1)S(=O)(=O)NCCNC/C=C/c3ccc(cc3)Br	CHEMBL104264
