// this file was created using the eMolecule database on 7/27/2014
//type	idx	codeName
lin74	663	c-C-S-c
lin74	664	*=*-*:*-*=*
lin74	665	*=*-*-*:*-*-*:*
lin74	666	c:n:n:c:s:
lin74	667	C-C-C-C-c:c-
lin74	668	C-C-C-C-C-
lin74	669	*-*:*-*-*:*:*-*
lin74	670	c-c:c:s
lin74	671	*-*:*:*:*-*=*-*
lin74	672	N-c:c-S
lin74	673	N-C-S
lin74	674	C-N-C=C
lin74	675	*=*-*:*-*-*
lin74	676	*=*-*-*-*:*-*-
lin74	677	C-S-C-N
lin74	678	c-c:o:n
lin74	679	*=*-*=*-*-*
lin74	680	*-*:*-*-*:*-*
lin74	681	*:*-*-*-*:*-*:*
lin74	682	C-C-c:o
lin74	683	C-C-N-N
lin74	684	C-N-N=C
lin74	685	S-N-C-c
lin74	686	C-C-N-c:c-
lin74	687	C-n:n:n
lin74	688	*:*-*-*:*:*-*:*
lin74	689	C-C-C-
lin74	690	*-*-*-*-*=*-*-
lin74	691	N-C-O
lin74	692	O-c:n:c
lin74	693	N-c:c-N
lin74	694	*:*-*-*-*=*-*:*
lin74	695	C-N-C-S
lin74	696	*-*:*:*-*=*-*
lin74	697	*-*-*-*-*-*=*-
lin74	698	*=*:*-*-*-*-*-*
lin74	699	*=*-*-*=*-*-*
lin74	700	C=C-C-O
lin74	701	C-N-C=N
lin74	702	C-n:c-N
lin74	703	*=*-*:*:*:*:*=*
lin74	704	c-C-n:n
lin74	705	*=*-*=*-*-*:*
lin74	706	*-*-*-*=*-*:*-*
lin74	707	*-*=*-*-*:*-*
lin74	708	*=*-*=*-*-*:*:*
lin74	709	*=*-*:*-*-*-*-*
lin74	710	*=*-*-*-*-*=*-*
lin74	711	S-c:s
lin74	712	*=*-*-*-*:*:*=*
lin74	713	*=*-*:*:*:*=*
lin74	714	N-N=C-c
lin74	715	*=*-*-*=*-*-*:*
lin74	716	S-c:s:c
lin74	717	*:*-*=*-*-*-*:*
lin74	718	N-c:c-c
lin74	719	*=*-*-*:*:*-*-*
lin74	720	C-C-C-C-C-C=
lin74	721	O-c:c-c
lin74	722	*=*-*-*-*-*=*-
lin74	723	*#*-*:*:*:*
lin74	724	*#*-*:*:*:*:*
lin74	725	*#*-*:*:*
lin74	726	*-*=*-*-*:*:*-*
lin74	727	C-n:c-c
lin74	728	*-*:*-*:*:*-*-*
lin74	729	C-S-N
lin74	730	C=S
lin74	731	*=*-*:*:*-*-*:*
lin74	732	*=*-*-*:*-*:*:*
lin74	733	*=*-*-*:*-*:*
lin74	734	F-c:c-N
lin74	735	*-*-*-*-*=
lin74	736	*=*-*-*-*:*-
lin74	737	*-*-*-*-*=*-
lin74	738	N-C=S
lin74	739	*=*-*-*-*:*-*:*
lin74	740	*-*:*-*=*-*
lin74	741	*-*:*:*:*-*:*=*
lin74	742	C-C-S=O
lin74	743	C=C-S
lin74	744	*=*-*:*=*
lin74	745	*=*:*-*-*-*
lin74	746	*=*:*:*-*-*-*
lin74	747	*-*=*-*-*=*-*
lin74	748	*=*-*:*-*:*
lin74	749	*=*-*:*-*:*:*:*
lin74	750	*=*-*:*-*:*:*
lin74	751	n:n:n:n
lin74	752	c-C-c:n
lin74	753	c:n:n:n:n:
lin74	754	N#C-c
lin74	755	N#C-c:c
lin74	756	C-N-C=S
lin74	757	*-*-*:*-*:*-*
lin74	758	*=*:*:*:*:*-*-*
lin74	759	c:c:n:n:n:
lin74	760	Cl-c:c-N
lin74	761	c-O-c
lin74	762	c-O-c:c
lin74	763	*-*-*:*-*=*-*
lin74	764	*=*-*-*:*-*-*-*
lin74	765	C-C-C=N
lin74	766	*=*:*:*-*-*-*:*
lin74	767	C-C-C-C-O-
lin74	768	*:*-*-*-*-*-*-*
lin74	769	n:c-c:s
lin74	770	*-*:*:*-*=*-*=*
lin74	771	C-N=C
lin74	772	O=c:o
lin74	773	*=*-*:*-*-*:*:*
lin74	774	*=*-*:*-*-*:*
lin74	775	O=c:o:c
lin74	776	C-C#N
lin74	777	*=*:*-*-*-*:*
lin74	778	*=*:*-*-*-*:*:*
lin74	779	*:*-*-*=*-*-*:*
lin74	780	*-*:*:*-*-*:*-*
lin74	781	N-N-C-c
lin74	782	*=*-*-*-*:*=*
lin74	783	*:*:*-*:*:*-*:*
lin74	784	c-S-c
lin74	785	C=N-c
lin74	786	*#*-*-*-*
lin74	787	C=C-N-c
lin74	788	c-S-c:c
lin74	789	*=*-*=*-*-*=*
lin74	790	C=N-c:c
lin74	791	n:n:c:o
lin74	792	n:c-c:o
lin74	793	C-N-C-O
lin74	794	c:n:n:c:o:
lin74	795	c:c:c:c:c:o:
lin74	796	C-C-N=C
lin74	797	C-N-S-C
lin74	798	*#*-*:*:*:*:*:*
lin74	799	*-*=*-*:*:*-*-*
lin74	800	*-*-*:*:*-*=*-*
lin74	801	*-*-*:*-*-*:*-*
lin74	802	*=*-*-*=*-*-*-*
lin74	803	*-*=*-*-*-*-*-
lin74	804	*:*:*-*:*-*:*:*
lin74	805	*:*-*:*-*:*
lin74	806	*:*-*:*-*:*:*
lin74	807	*:*-*:*-*:*:*:*
lin74	808	*=*-*-*:*-*-
lin74	809	C-S-C=C
lin74	810	S-c:n-c
lin74	811	*-*-*-*:*-*:*-*
lin74	812	n:c-c:n
lin74	813	*-*=*-*-*:*-*-*
lin74	814	*=*-*=*-*-*-*
